,prop,name,url,east,north,uarn,descrip,nav,rv,effdate,category,postcode,lattitude,longitude
0,DUNDEE CITY COUNCIL,"JANET BROUGHAM HOUSE, 1 BANCHORY ROAD, DUNDEE, DD4 7BS",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=303198&PPRN=303198&ASSESSOR_IDX=14#results,343799,732141,303198,HOME,"&pound;109,500","&pound;109,500",01/04/2023,CareFacilities,DD4 7BS,56.47800522,-2.91400942
1,MICHAEL J & MRS ELEANOR H MAHONEY,"DUDHOPE VILLA, 1 ST MARY PLACE, DUNDEE, DD1 5RB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=750572&PPRN=750572&ASSESSOR_IDX=14#results,339159,730721,750572,HOME,"&pound;10,000","&pound;10,000",01/04/2023,CareFacilities,DD1 5RB,56.46467181,-2.98899428
2,THE RICHMOND FELLOWSHIP,"FLAT 8, 2 PITAIRLIE ROAD, DUNDEE, DD4 8DB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307539&PPRN=307539&ASSESSOR_IDX=14#results,342526,732201,307539,HOSTEL,"&pound;7,700","&pound;7,700",01/04/2023,CareFacilities,DD4 8DB,56.47839029,-2.93468637
3,DUNDEE CITY COUNCIL,"3 KINGS CROSS ROAD, DUNDEE, DD2 3PT",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307003&PPRN=307003&ASSESSOR_IDX=14#results,338450,731939,307003,HOME,"&pound;63,400","&pound;63,400",01/04/2023,CareFacilities,DD2 3PT,56.47552062,-3.0007869
4,JACK VISSER,"3 ARGYLE PLACE, THOMSON STREET, DUNDEE, DD1 4LE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307460&PPRN=307460&ASSESSOR_IDX=14#results,339074,729631,307460,HOSTEL,"&pound;5,400","&pound;5,400",01/04/2023,CareFacilities,DD1 4LE,56.45487022,-2.99011831
5,DUNDEE CITY COUNCIL,"TURRIFF HOUSE, 4 RANNOCH ROAD, DUNDEE, DD3 8RB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=110278&PPRN=110278&ASSESSOR_IDX=14#results,338260,733207,110278,HOME,"&pound;89,100","&pound;89,100",01/04/2023,CareFacilities,DD3 8RB,56.48688581,-3.00417195
6,PETER & MRS CAROL PHILIP,"TIGHNAMUIRN, 4 VICTORIA STREET, MONIFIETH, DUNDEE, DD5 4HL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=756018&PPRN=756018&ASSESSOR_IDX=14#results,349521,732666,756018,HOME,"&pound;117,250","&pound;117,250",01/04/2023,CareFacilities,DD5 4HL,56.48336972,-2.82122828
7,ABERLOUR CHILDCARE TRUST,"COWAN GROVE, 5 COWAN PLACE, DUNDEE, DD4 6QL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=305083&PPRN=305083&ASSESSOR_IDX=14#results,340765,731213,305083,HOSTEL,"&pound;41,100","&pound;41,100",01/04/2023,CareFacilities,DD4 6QL,56.46929658,-2.96304658
8,SENSE SCOTLAND,"5 FLEUCHAR STREET, DUNDEE, DD2 2LQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812412&PPRN=812412&ASSESSOR_IDX=14#results,338818,730529,812412,HOME,"&pound;18,700","&pound;18,700",01/04/2023,CareFacilities,DD2 2LQ,56.46290309,-2.99448224
9,DUNDEE CITY COUNCIL,"7 FAIRBAIRN STREET, DUNDEE, DD3 7JH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=764571&PPRN=764571&ASSESSOR_IDX=14#results,340520,731587,764571,HOME,"&pound;20,500","&pound;20,500",01/04/2023,CareFacilities,DD3 7JH,56.47262515,-2.96710808
