Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads,Affluence Score
DD1 1DJ,Yes,56.462612,-2.969985,340327.0,730474.0,NO403304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,16.0,9.0,,City Centre - 05,Large urban area,Scotland,17.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,0,2024-12-20,Dundee,0.68449,DD,DD1,Scotland,Scottish Water,9C8VF27J+22,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059012500,9059044292,9059054535,9059081490,9059083001,9059088954,9059088955,9059089128,9059089131,9059089132,9059089133,9059089134,9059089166,9059089233,9059089238,9059089256,9059089257,9059089258,9059089259,9059089260,9059089261,9059090639,9059098027,9059101306,9059101307,9059101308,9059101309,9059101310,9059106086,9059106087,9059107959,9059113093",0.978446,,,,,S00148458,3.0,S14000075,Dundee Central,,Panmure Street,0.7961968355349107
DD1 1EF,Yes,56.46404,-2.9713,340248.0,730634.0,NO402306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,22.0,13.0,,City Centre - 05,Large urban area,Scotland,22.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,0,2024-12-20,Dundee,0.839079,DD,DD1,Scotland,Scottish Water,9C8VF27H+JF,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059032176,9059032177,9059032178,9059032179,9059032180,9059048575,9059048576,9059048577,9059057809,9059075012,9059075013,9059075014,9059087729,9059088951,9059088952,9059088957,9059088958,9059088961,9059088963,9059088964,9059098709,9059099061,9059099062,9059106794",1.15638,,,,,S00148458,3.0,S14000075,Dundee Central,,Panmure Street,0.7961968355349107
DD1 1EL,Yes,56.464092,-2.971496,340236.0,730640.0,NO402306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1981-07-01,,,,33.0,21.0,,City Centre - 05,Large urban area,Scotland,23.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,0,2024-12-20,Dundee,0.845026,DD,DD1,Scotland,Scottish Water,9C8VF27H+JC,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059024613,9059027421,9059027432,9059027844,9059027854,9059027865,9059027876,9059027887,9059027899,9059027910,9059027921,9059027932,9059027943,9059027954,9059027965,9059027976,9059027997,9059028007,9059028525,9059028536,9059028547,9059028557,9059039160,9059039162,9059074918,9059075905,9059075907,9059075913,9059094052,9059094053,9059099344,9059102240,10091940487",1.16539,,,,,S00148458,3.0,S14000075,Dundee Central,,A929,0.7961968355349107
DD1 1EQ,Yes,56.463492,-2.970166,340317.0,730572.0,NO403305,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,33.0,17.0,,City Centre - 05,Large urban area,Scotland,18.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,0,2024-12-20,Dundee,0.780775,DD,DD1,Scotland,Scottish Water,9C8VF27H+9W,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059055725,9059056219,9059056223,9059056225,9059056226,9059056272,9059056273,9059059976,9059059978,9059059979,9059059980,9059059981,9059059982,9059059983,9059059984,9059059985,9059059986,9059087446,9059087447,9059087448,9059087449,9059087450,9059090628,9059090632,9059090633,9059090634,9059090635,9059090636,9059090637,9059090638,9059094171,9059098404,9059102630,9059102631",1.07733,,,,,S00148458,3.0,S14000075,Dundee Central,,"Meadow Lane,Panmure Street",0.7961968355349107
DD1 1EX,Yes,56.462405,-2.97579,339969.0,730456.0,NO399304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,5.0,2.0,,City Centre - 05,Large urban area,Scotland,22.0,,S01007705,,S02001448,City Centre,,S00098440,1414,1,0,2024-12-20,Dundee,0.715114,DD,DD1,Scotland,Scottish Water,9C8VF26F+XM,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059014893,9059041173,9059041174,9059075845,9059075848,9059075849,9059075850,9059075851,9059075852,9059075854,9059075858,9059075859,9059096703,9059097944,9059105299,9059105300,9059105301,9059105302,9059105303,9059105304,9059105305,9059105306,9059105307,9059105308,9059105309,9059105310,9059105311,9059107385,9059107386,9059107387,9059107388,9059107389,9059107390,9059107391,9059107392,9059107393",1.05524,,,,,S00148480,3.0,S14000075,Dundee Central,,"Bell Street,Nicoll Street,West Bell Street",0.7961968355349107
DD1 1HF,Yes,56.463579,-2.972655,340164.0,730584.0,NO401305,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,47.0,23.0,,City Centre - 05,Large urban area,Scotland,22.0,,S01007705,,S02001448,City Centre,,S00098442,1414,1,0,2024-12-20,Dundee,0.792846,DD,DD1,Scotland,Scottish Water,9C8VF27G+CW,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059004985,9059019073,9059019138,9059019139,9059019266,9059019267,9059019268,9059019269,9059020169,9059020170,9059020171,9059020172,9059020173,9059020174,9059020175,9059025006,9059025007,9059035435,9059035471,9059035491,9059049797,9059049799,9059049923,9059049925,9059049926,9059056270,9059056271,9059056331,9059056332,9059056333,9059056334,9059056335,9059056336,9059056337,9059066064,9059077214,9059077215,9059077218,9059093538,9059097192,9059098749,9059098750,9059100877,9059100878,9059102138,9059103107,9059106717,9059106718,9059106719,9059106720",1.12939,,,,,S00148458,3.0,S14000075,Dundee Central,,"Bell Street,Euclid Crescent,Irvine's Square,Soapwork Lane",0.7961968355349107
DD1 1HP,Yes,56.463637,-2.971111,340259.0,730589.0,NO402305,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,55.0,0.0,,City Centre - 05,Large urban area,Scotland,21.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,0,2024-12-20,Dundee,0.794298,DD,DD1,Scotland,Scottish Water,9C8VF27H+FH,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059009977,9059009978,9059009979,9059009980,9059009982,9059009983,9059009984,9059009985,9059009986,9059023462,9059028475,9059038977,9059078583,9059078587,9059078588,9059097424,9059112765",1.10928,,,,,S00148458,3.0,S14000075,Dundee Central,,"A929,Bell Street,Panmure Street",0.7961968355349107
DD1 1HX,Yes,56.464105,-2.973156,340134.0,730643.0,NO401306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1996-06-01,,,,19.0,0.0,,City Centre - 05,Large urban area,Scotland,25.0,,S01007705,,S02001448,City Centre,,S00098442,1414,1,0,2024-12-20,Dundee,0.854716,DD,DD1,Scotland,Scottish Water,9C8VF27G+JP,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059030988,9059076628,9059076629,9059093539,9059097366,9059097884,9059098558,9059101017,9059101018,9059101019,9059101020,9059101021,9059101022,9059101023,9059101024,9059101025,9059101026,9059101027,9059101028,9059101029,9059101030,9059101031,9059101032,9059101033,9059101034,9059101035,9059101036,9059101037,9059101038,9059101039,9059101040,9059101041,9059101042,9059101043,9059101044,9059101045,9059101046,9059101047,9059101048,9059104101,9059111747,9059111748,9059111749,9059111750,9059111751,9059111752,9059111753,9059111754,9059111755,9059111756,9059111757,9059111758,9059111759,9059111760,9059111761",1.19521,,,,,S00148458,3.0,S14000075,Dundee Central,,"A929,Soapwork Lane,Victoria Way",0.7961968355349107
DD1 1JG,Yes,56.463917,-2.972043,340202.0,730621.0,NO402306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,13.0,8.0,,City Centre - 05,Large urban area,Scotland,23.0,,S01007705,,S02001448,City Centre,,S00098442,1414,1,0,2024-12-20,Dundee,0.826993,DD,DD1,Scotland,Scottish Water,9C8VF27H+H5,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059048663,9059048664,9059048665,9059048666,9059048667,9059048669,9059048670,9059048673,9059048795,9059058349,9059075908,9059075909,9059089197,9059089198,9059111222",1.15571,,,,,S00148458,3.0,S14000075,Dundee Central,,A929,0.7961968355349107
DD1 1JN,Yes,56.464504,-2.971653,340227.0,730686.0,NO402306,,Dundee City,Coldside,S12000042,S13002548,Scotland,S99999999,1980-01-01,,,,84.0,7.0,,Docks and Wellgate - 05,Large urban area,Scotland,27.0,,S01007711,,S02001449,Docks and Wellgate,,S00099542,1165,1,0,2024-12-20,Dundee,0.891043,DD,DD1,Scotland,Scottish Water,9C8VF27H+R8,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059043893,9059055770,9059058231,9059058232,9059058233,9059058235,9059058236,9059058237,9059058238,9059058239,9059058240,9059058241,9059058242,9059058243,9059058244,9059058246,9059058247,9059075914,9059075915,9059075916,9059075917,9059075918,9059075919,9059075920,9059075926,9059075927,9059076870,9059104896,9059104897,9059107949,10025423655",1.21293,,,,,S00148410,2.0,S14000075,Dundee Central,,A929,0.8323414138481637
