Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads
DD1 1AA,No,56.462189,-2.973622,340102.0,730430.0,NO401304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,2023-12-01,,,,,,City Centre - 05,Large urban area,Scotland,21.0,,S01007705,,S02001448,City Centre,,S00098441,1414,1,1,2024-12-20,Dundee,0.650527,DD,DD1,Scotland,Scottish Water,9C8VF26G+VH,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059087453,9059087454,9059087455,9059103586",0.994631,,,,,S00148458,3.0,S14000075,Dundee Central,,"Euclid Crescent,Panmure Street"
DD1 1AB,No,56.462096,-2.973977,340080.0,730420.0,NO400304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,1995-12-01,,,,,,City Centre - 05,Large urban area,Scotland,21.0,,S01007705,,S02001448,City Centre,,S00098441,1414,8,1,2024-12-20,Dundee,0.645868,DD,DD1,Scotland,Scottish Water,9C8VF26G+RC,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.990582,,,,,S00148458,3.0,S14000075,Dundee Central,,
DD1 1AD,Yes,56.462393,-2.97725,339879.0,730456.0,NO398304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,2009-06-01,,,,0.0,0.0,,City Centre - 05,Large urban area,Scotland,22.0,,S01007705,,S02001448,City Centre,,S00098440,1414,1,0,2024-12-20,Dundee,0.75375,DD,DD1,Scotland,Scottish Water,9C8VF26F+X4,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059075847,9059075856,9059075860,9059095690,9059096382",1.07891,,,,,S00148480,3.0,S14000075,Dundee Central,,"Court House Square,West Bell Street"
DD1 1AE,Yes,56.46273,-2.977778,339847.0,730494.0,NO398304,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,2018-04-01,,,,,,,City Centre - 05,Large urban area,Scotland,27.0,,S01007705,,S02001448,City Centre,,S00098440,1414,5,0,2024-12-20,Dundee,0.802364,DD,DD1,Scotland,Scottish Water,9C8VF27C+3V,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.12463,,,,,S00148480,3.0,S14000075,Dundee Central,,
DD1 1AF,Yes,56.460223,-2.975555,339980.0,730213.0,NO399302,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,2018-12-01,,,,,,,City Centre - 05,Large urban area,Scotland,25.0,,S01007705,,S02001448,City Centre,,S00099539,1414,1,1,2024-12-20,Dundee,0.493443,DD,DD1,Scotland,Scottish Water,9C8VF26F+3Q,,,Dundee,Eastern Scotland,Angus and Dundee City,9059106806,0.813707,,,,,S00148500,3.0,S14000075,Dundee Central,,North Lindsay Street
DD1 1AR,No,56.459388,-2.967563,340471.0,730113.0,NO404301,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1996-06-01,2011-11-01,,,,,,City Centre - 06,Large urban area,Scotland,10.0,,S01007706,,S02001448,City Centre,,S00098452,4424,1,1,2024-12-20,Dundee,0.392137,DD,DD1,Scotland,Scottish Water,9C8VF25J+QX,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.586078,,,,,S00148554,7.0,S14000075,Dundee Central,,
DD1 1AY,No,56.459562,-2.976346,339930.0,730140.0,NO399301,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1994-02-01,1995-02-01,,,,,,City Centre - 05,Large urban area,Scotland,18.0,,S01007705,,S02001448,City Centre,,S00098440,1414,8,1,2024-12-20,Dundee,0.465008,DD,DD1,Scotland,Scottish Water,9C8VF25F+RF,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.755292,,,,,S00148480,3.0,S14000075,Dundee Central,,
DD1 1BA,Yes,56.461682,-2.976274,339938.0,730376.0,NO399303,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,,,,City Centre - 05,Large urban area,Scotland,21.0,,S01007705,,S02001448,City Centre,,S00098440,1414,1,1,2024-12-20,Dundee,0.655615,DD,DD1,Scotland,Scottish Water,9C8VF26F+MF,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059044588,9059093997,9059093998,9059093999,9059100212,9059103638,9059103639,10025423685",0.98482,,,,,S00148480,3.0,S14000075,Dundee Central,,Ward Road
DD1 1BB,No,56.461628,-2.976399,339930.0,730370.0,NO399303,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,1995-12-01,,,,,,City Centre - 05,Large urban area,Scotland,21.0,,S01007705,,S02001448,City Centre,,S00098440,1414,8,1,2024-12-20,Dundee,0.654047,DD,DD1,Scotland,Scottish Water,9C8VF26F+MC,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.981081,,,,,S00148480,3.0,S14000075,Dundee Central,,
DD1 1BD,No,56.460214,-2.973377,340114.0,730210.0,NO401302,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,1998-12-01,,,,,,City Centre - 05,Large urban area,Scotland,18.0,,S01007705,,S02001448,City Centre,,S00099539,1414,1,1,2024-12-20,Dundee,0.434866,DD,DD1,Scotland,Scottish Water,9C8VF26G+3J,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.775463,,,,,S00148500,3.0,S14000075,Dundee Central,,
